msa_id,NAME,type,estimate,count,percap
26900,"Indianapolis-Carmel-Anderson, IN",Metro Area,1989032,197,0.99
34100,"Morristown, TN",Metro Area,116352,23,1.98
35840,"North Port-Sarasota-Bradenton, FL",Metro Area,768381,51,0.66
16020,"Cape Girardeau, MO-IL",Metro Area,97136,20,2.06
18020,"Columbus, IN",Metro Area,81024,8,0.99
39380,"Pueblo, CO",Metro Area,163368,27,1.65
49660,"Youngstown-Warren-Boardman, OH-PA",Metro Area,548821,114,2.08
14500,"Boulder, CO",Metro Area,316782,7,0.22
48540,"Wheeling, WV-OH",Metro Area,143801,27,1.88
27780,"Johnstown, PA",Metro Area,135871,30,2.21
15940,"Canton-Massillon, OH",Metro Area,402098,61,1.52
25180,"Hagerstown-Martinsburg, MD-WV",Metro Area,261156,31,1.19
32900,"Merced, CA",Metro Area,267390,18,0.67
38540,"Pocatello, ID",Metro Area,84113,5,0.59
23900,"Gettysburg, PA",Metro Area,101589,13,1.28
30620,"Lima, OH",Metro Area,104157,21,2.02
13980,"Blacksburg-Christiansburg-Radford, VA",Metro Area,181863,37,2.03
49700,"Yuba City, CA",Metro Area,170227,11,0.65
17300,"Clarksville, TN-KY",Metro Area,278844,47,1.69
11540,"Appleton, WI",Metro Area,233025,14,0.6
43900,"Spartanburg, SC",Metro Area,325504,73,2.24
15980,"Cape Coral-Fort Myers, FL",Metro Area,700165,69,0.99
22660,"Fort Collins, CO",Metro Area,330976,8,0.24
25060,"Gulfport-Biloxi-Pascagoula, MS",Metro Area,388082,108,2.78
20260,"Duluth, MN-WI",Metro Area,279205,26,0.93
24780,"Greenville, NC",Metro Area,176484,37,2.1
44700,"Stockton-Lodi, CA",Metro Area,724153,28,0.39
31700,"Manchester-Nashua, NH",Metro Area,406371,22,0.54
27340,"Jacksonville, NC",Metro Area,192685,28,1.45
47220,"Vineland-Bridgeton, NJ",Metro Area,154952,24,1.55
11020,"Altoona, PA",Metro Area,124736,23,1.84
41060,"St. Cloud, MN",Metro Area,194660,13,0.67
12980,"Battle Creek, MI",Metro Area,134327,22,1.64
34620,"Muncie, IN",Metro Area,115938,25,2.16
13780,"Binghamton, NY",Metro Area,245446,36,1.47
17420,"Cleveland, TN",Metro Area,120388,27,2.24
40980,"Saginaw, MI",Metro Area,193803,30,1.55
48700,"Williamsport, PA",Metro Area,115398,15,1.3
21420,"Enid, OK",Metro Area,62421,13,2.08
44140,"Springfield, MA",Metro Area,630385,42,0.67
10420,"Akron, OH",Metro Area,703398,78,1.11
12220,"Auburn-Opelika, AL",Metro Area,156597,24,1.53
31420,"Macon-Bibb County, GA",Metro Area,229966,50,2.17
19180,"Danville, IL",Metro Area,79207,19,2.4
31020,"Longview, WA",Metro Area,103590,3,0.29
28740,"Kingston, NY",Metro Area,180129,23,1.28
47380,"Waco, TX",Metro Area,263009,51,1.94
28020,"Kalamazoo-Portage, MI",Metro Area,335020,41,1.22
42700,"Sebring, FL",Metro Area,100177,20,2
34060,"Morgantown, WV",Metro Area,137475,25,1.82
14020,"Bloomington, IN",Metro Area,165393,9,0.54
27500,"Janesville-Beloit, WI",Metro Area,161226,16,0.99
24340,"Grand Rapids-Wyoming, MI",Metro Area,1039182,103,0.99
30020,"Lawton, OK",Metro Area,129066,24,1.86
39740,"Reading, PA",Metro Area,415500,38,0.91
43420,"Sierra Vista-Douglas, AZ",Metro Area,126516,21,1.66
30780,"Little Rock-North Little Rock-Conway, AR",Metro Area,730346,133,1.82
22520,"Florence-Muscle Shoals, AL",Metro Area,147025,40,2.72
38060,"Phoenix-Mesa-Scottsdale, AZ",Metro Area,4561038,181,0.4
17820,"Colorado Springs, CO",Metro Area,698595,34,0.49
22420,"Flint, MI",Metro Area,410881,57,1.39
41100,"St. George, UT",Metro Area,155577,10,0.64
18140,"Columbus, OH",Metro Area,2023695,185,0.91
12940,"Baton Rouge, LA",Metro Area,828741,160,1.93
27620,"Jefferson City, MO",Metro Area,151056,26,1.72
27180,"Jackson, TN",Metro Area,129538,47,3.63
10540,"Albany, OR",Metro Area,121074,5,0.41
33860,"Montgomery, AL",Metro Area,373507,84,2.25
24860,"Greenville-Anderson-Mauldin, SC",Metro Area,872463,152,1.74
39300,"Providence-Warwick, RI-MA",Metro Area,1613154,98,0.61
47020,"Victoria, TX",Metro Area,99028,21,2.12
37860,"Pensacola-Ferry Pass-Brent, FL",Metro Area,476702,85,1.78
43780,"South Bend-Mishawaka, IN-MI",Metro Area,320010,43,1.34
24420,"Grants Pass, OR",Metro Area,84514,6,0.71
33780,"Monroe, MI",Metro Area,149619,12,0.8
25980,"Hinesville, GA",Metro Area,79977,19,2.38
33660,"Mobile, AL",Metro Area,414328,111,2.68
41740,"San Diego-Carlsbad, CA",Metro Area,3283665,42,0.13
27260,"Jacksonville, FL",Metro Area,1447884,175,1.21
38300,"Pittsburgh, PA",Metro Area,2348143,300,1.28
40220,"Roanoke, VA",Metro Area,313069,45,1.44
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metro Area,9549229,485,0.51
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metro Area,623675,76,1.22
39340,"Provo-Orem, UT",Metro Area,587190,21,0.36
44300,"State College, PA",Metro Area,160646,7,0.44
16740,"Charlotte-Concord-Gastonia, NC-SC",Metro Area,2427024,281,1.16
10580,"Albany-Schenectady-Troy, NY",Metro Area,881862,66,0.75
39580,"Raleigh, NC",Metro Area,1273985,106,0.83
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metro Area,6065644,352,0.58
19100,"Dallas-Fort Worth-Arlington, TX",Metro Area,7104415,585,0.82
19340,"Davenport-Moline-Rock Island, IA-IL",Metro Area,383141,46,1.2
31340,"Lynchburg, VA",Metro Area,258995,46,1.78
35300,"New Haven-Milford, CT",Metro Area,862127,46,0.53
24500,"Great Falls, MT",Metro Area,81816,2,0.24
13740,"Billings, MT",Metro Area,167545,9,0.54
29460,"Lakeland-Winter Haven, FL",Metro Area,652256,98,1.5
34940,"Naples-Immokalee-Marco Island, FL",Metro Area,356774,17,0.48
39140,"Prescott, AZ",Metro Area,220972,27,1.22
13020,"Bay City, MI",Metro Area,105350,14,1.33
26380,"Houma-Thibodaux, LA",Metro Area,211179,58,2.75
33220,"Midland, MI",Metro Area,83489,12,1.44
20940,"El Centro, CA",Metro Area,179957,12,0.67
21340,"El Paso, TX",Metro Area,838527,132,1.57
12620,"Bangor, ME",Metro Area,152284,25,1.64
48140,"Wausau, WI",Metro Area,135293,13,0.96
22140,"Farmington, NM",Metro Area,128221,18,1.4
31460,"Madera, CA",Metro Area,154440,11,0.71
42340,"Savannah, GA",Metro Area,377476,52,1.38
24140,"Goldsboro, NC",Metro Area,124496,30,2.41
35380,"New Orleans-Metairie, LA",Metro Area,1260660,171,1.36
29420,"Lake Havasu City-Kingman, AZ",Metro Area,204691,30,1.47
22380,"Flagstaff, AZ",Metro Area,138639,13,0.94
44060,"Spokane-Spokane Valley, WA",Metro Area,547688,12,0.22
20700,"East Stroudsburg, PA",Metro Area,167306,20,1.2
39660,"Rapid City, SD",Metro Area,143711,18,1.25
12540,"Bakersfield, CA",Metro Area,878744,58,0.66
46660,"Valdosta, GA",Metro Area,143969,42,2.92
23420,"Fresno, CA",Metro Area,971616,63,0.65
20020,"Dothan, AL",Metro Area,147790,43,2.91
28940,"Knoxville, TN",Metro Area,862490,149,1.73
29820,"Las Vegas-Henderson-Paradise, NV",Metro Area,2112436,73,0.35
14260,"Boise City, ID",Metro Area,677346,27,0.4
41700,"San Antonio-New Braunfels, TX",Metro Area,2377507,228,0.96
25860,"Hickory-Lenoir-Morganton, NC",Metro Area,364044,71,1.95
38860,"Portland-South Portland, ME",Metro Area,525776,41,0.78
35620,"New York-Newark-Jersey City, NY-NJ-PA",Metro Area,20192042,503,0.25
14460,"Boston-Cambridge-Newton, MA-NH",Metro Area,4771936,136,0.28
41860,"San Francisco-Oakland-Hayward, CA",Metro Area,4641820,48,0.1
41620,"Salt Lake City, UT",Metro Area,1170057,42,0.36
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Metro Area,6019790,278,0.46
31080,"Los Angeles-Long Beach-Anaheim, CA",Metro Area,13261538,189,0.14
26420,"Houston-The Woodlands-Sugar Land, TX",Metro Area,6636208,495,0.75
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",Metro Area,280119,6,0.21
27740,"Johnson City, TN",Metro Area,200767,38,1.89
37620,"Parkersburg-Vienna, WV",Metro Area,91816,24,2.61
17860,"Columbia, MO",Metro Area,174589,11,0.63
49340,"Worcester, MA-CT",Metro Area,934923,58,0.62
21660,"Eugene, OR",Metro Area,363471,9,0.25
16700,"Charleston-North Charleston, SC",Metro Area,744195,92,1.24
41420,"Salem, OR",Metro Area,410119,17,0.41
13220,"Beckley, WV",Metro Area,121699,44,3.62
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro Area,1830410,244,1.33
19820,"Detroit-Warren-Dearborn, MI",Metro Area,4304613,361,0.84
16820,"Charlottesville, VA",Metro Area,228825,26,1.14
27900,"Joplin, MO",Metro Area,176759,33,1.87
40900,"Sacramento--Roseville--Arden-Arcade, CA",Metro Area,2268005,58,0.26
12700,"Barnstable Town, MA",Metro Area,213900,5,0.23
37100,"Oxnard-Thousand Oaks-Ventura, CA",Metro Area,847834,13,0.15
21060,"Elizabethtown-Fort Knox, KY",Metro Area,150253,38,2.53
43340,"Shreveport-Bossier City, LA",Metro Area,443974,95,2.14
10780,"Alexandria, LA",Metro Area,154385,48,3.11
46140,"Tulsa, OK",Metro Area,977869,136,1.39
22180,"Fayetteville, NC",Metro Area,385337,59,1.53
36260,"Ogden-Clearfield, UT",Metro Area,642274,25,0.39
41940,"San Jose-Sunnyvale-Santa Clara, CA",Metro Area,1969897,23,0.12
24260,"Grand Island, NE",Metro Area,84596,10,1.18
11180,"Ames, IA",Metro Area,95888,4,0.42
44940,"Sumter, SC",Metro Area,107379,28,2.61
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro Area,832790,60,0.72
27060,"Ithaca, NY",Metro Area,104415,6,0.57
19300,"Daphne-Fairhope-Foley, AL",Metro Area,203360,51,2.51
37460,"Panama City, FL",Metro Area,196135,54,2.75
41180,"St. Louis, MO-IL",Metro Area,2804998,282,1.01
12580,"Baltimore-Columbia-Towson, MD",Metro Area,2792050,163,0.58
28420,"Kennewick-Richland, WA",Metro Area,279653,5,0.18
13460,"Bend-Redmond, OR",Metro Area,175321,5,0.29
14860,"Bridgeport-Stamford-Norwalk, CT",Metro Area,947328,11,0.12
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metro Area,1717708,185,1.08
24020,"Glens Falls, NY",Metro Area,126884,18,1.42
40580,"Rocky Mount, NC",Metro Area,148157,36,2.43
46220,"Tuscaloosa, AL",Metro Area,239589,52,2.17
24220,"Grand Forks, ND-MN",Metro Area,101694,14,1.38
49420,"Yakima, WA",Metro Area,248279,9,0.36
33540,"Missoula, MT",Metro Area,114231,1,0.09
29700,"Laredo, TX",Metro Area,269624,32,1.19
23460,"Gadsden, AL",Metro Area,103132,32,3.1
24300,"Grand Junction, CO",Metro Area,148798,13,0.87
43580,"Sioux City, IA-NE-SD",Metro Area,168647,29,1.72
25420,"Harrisburg-Carlisle, PA",Metro Area,565008,55,0.97
40340,"Rochester, MN",Metro Area,214485,14,0.65
11100,"Amarillo, TX",Metro Area,261827,38,1.45
17460,"Cleveland-Elyria, OH",Metro Area,2062764,212,1.03
20220,"Dubuque, IA",Metro Area,96571,8,0.83
46540,"Utica-Rome, NY",Metro Area,295267,39,1.32
26620,"Huntsville, AL",Metro Area,444908,78,1.75
36140,"Ocean City, NJ",Metro Area,94549,12,1.27
48660,"Wichita Falls, TX",Metro Area,150940,26,1.72
45220,"Tallahassee, FL",Metro Area,377674,58,1.54
15540,"Burlington-South Burlington, VT",Metro Area,216751,17,0.78
13820,"Birmingham-Hoover, AL",Metro Area,1144097,192,1.68
14100,"Bloomsburg-Berwick, PA",Metro Area,84917,13,1.53
17140,"Cincinnati, OH-KY-IN",Metro Area,2156723,224,1.04
